# PhotoName,lat,long,description
IMG_0195.JPG,42.3730,-73.3677,Sample Text
DB9A6455.JPG,21.3996,-157.7974,Kaneohe
DB9A6467.JPG,21.4,-157.8,Haleiwa Joes
IMG_8043.jpg,32.7157,-117.1611,San Diego
IMG_7204.JPG,43.8429,10.5027,Pisa
IMG_7189.JPG,43.7228,10.4017,Luca Italy
26a0c921-74b3-4433-8c76-12d677742031.JPG,41.9028,12.4964,Rome
IMG_4349.jpg,41.8719,12.5674,Italy
2013-07-22_00-35-56_198.jpeg,20.7909697,-156.3269338,Kula Volcano Maui
IMG_2426.JPG,49.4099,-1.3182,Sainte-Mere-Ellies
IMG_1285.JPG,26.264442,-80.223888,Colon Wedding (Carolina golf club)
IMG_2540.JPG,48.8584,2.2945,Eiffel Tower Paris
IMG_1548.JPG,55.9533,-3.1883,Edinburgh
IMG_1469.JPG,53.3498,-6.2603,Dublin
IMG_1483.JPG,52.4862,-1.8904,Birmingham
IMG_0399.JPG,43.6532,-79.3832,Toronto 2012
IMG_4104.JPG,22.8905,-109.9167,Cabo Mexico
IMG_2691.JPG,20.2114,-87.4654,Tulum Mexico
Hi_chi_min.png,10.8231,106.6297,Hi chi min
IMG_1115.JPG,12.5657,104.9910,Cambodia
IMG_0348.JPG,59.9100,10.6802,Bygdoy Norway
IMG_7149.JPG,43.7711,11.2486,Tuscany
IMG_1434.JPG,45.5017,-73.5673,Montreal
da2e2103-ce6b-4273-8fd6-ac9d0d33d068.JPG,28.4097,-81.4597,Dukes Bday (Sea World Orlando)
IMG_5802.jpg,36.8508,-76.2859,Norfolk
d81e01f7-16c4-4634-a1d1-dffe99f5c36d.JPG,32.6082,-80.0848,Kiswahili island
IMG_5151.JPG,41.9484,-87.6553,Wrigley Field
IMG_3442.jpg,28.3597,-81.5913,Addison Gender Reveal (Animal Kingdom)
IMG_3225.JPG,44.9778,-93.2650,Minneapolis
IMG_3134.JPG,39.0968,-120.0324,Lake Tahoe
ab27f212-5ae0-4f8a-9ba6-9c30a8ea1f73.JPG,29.9511,-90.0715,New Orleans
IMG_2193.jpg,37.2116,-76.7752,Jamestown VA
44e22af4-5c32-4d96-ba3d-48abf198a002.JPG,21.5207,-157.8373,Kualoa Ranch
IMG_1099.JPG,42.3124,-87.8414,Zacks Bootcamp Graduation (Great Lakes IL)
MEXICOCity.png,19.4326,-99.1332,MEXICO City
IMG_3426.JPG,47.6062,-122.3321,Seattle
IMG_0323.JPG,34.1613,-118.1676,Rose bowl
IMG_2956.JPG,40.0150,-105.2705,Boulder
IMG_2892.JPG,35.5951,-82.5515,Asheville
IMG_2889.JPG,42.0987,-75.9180,Binghamton
IMG_2640.JPG,53.5511,9.9937,Hamburg
IMG_2737.JPG,25.7907,-80.1300,Miami Beach
IMG_1471.JPG,53.1424,-7.6921,Ireland
IMG_0361.JPG,44.2461,-117.5118,Brogan Norway
IMG_0218.JPG,25.988930,-80.382610,Memorial West Miramar Hospital (concussion?)
IMG_0470.JPG,51.2913,-0.6455,Pirbright U.K.
IMG_1040.JPG,13.7563,100.5018,Bangkok Thailand
IMG_1366.JPG,40.1667,-74.9070,Cairn
IMG_1211.JPG,25.0838,-77.3212,Atlantis
IMG_3843.png,41.3734,-80.7492,Mosquito Lake
IMG_3707.JPG,58.3019,-134.4197,Juneau
IMG_1607.JPG,56.297778,-5.235,Dalmatia-Lochawe
IMG_2057.JPG,39.6655,-105.2052,Red rocks
IMG_2469.JPG,48.6361,-1.5115,Mint St Michel
IMG_2456.JPG,48.8799,0.1713,Normandy
IMG_2702.JPG,20.2114,-87.4654,Tulum
IMG_2927.JPG,9.0800,-79.6800,Panama Canal
IMG_2999.JPG,38.8409,-105.0423,Pikes peak
IMG_3470.JPG,55.3422,-131.6461,Ketchikan
